test_family,varying_factor,level_a,level_b,conditioning_factor,conditioning_level,fixed_model,fixed_prompt,fixed_parser,n_a,n_b,successes_a,successes_b,failures_a,failures_b,recall_a,recall_b,recall_a_pct,recall_b_pct,difference,difference_percentage_points,odds_ratio,chi_square,degrees_of_freedom,minimum_expected_count,test_used,p_value,p_holm,p_fdr_bh
between_year_num,year_num,2023,2025,none,all,Llama,evidence,P1,80,80,80,75,0,5,1.0,0.9375,100.0,93.75,0.0625,6.25,0.0,5.161290322580645,1.0,2.5,Fisher exact,0.058606737972198855,0.3604933655127918,0.08791010695829829
between_year_num,year_num,2023,2025,none,all,Llama,evidence,P2,80,80,79,74,1,6,0.9875,0.925,98.75,92.5,0.0625,6.25,0.15611814345991562,3.7348272642390294,1.0,3.5,Fisher exact,0.11674697907742167,0.3604933655127918,0.140096374892906
between_dataset_clean,dataset_clean,nazario,spam_archive,none,all,Llama,guided,P1,68,92,60,71,8,21,0.8823529411764706,0.7717391304347826,88.23529411764706,77.17391304347827,0.11061381074168797,11.061381074168796,0.4507936507936508,3.2237855028480373,1.0,12.325,Pearson chi-square,0.07257561305612822,0.36287806528064115,0.10832625854709904
between_dataset_clean,dataset_clean,nazario,spam_archive,none,all,Qwen,label,P1,68,92,39,65,29,27,0.5735294117647058,0.7065217391304348,57.35294117647059,70.65217391304348,-0.13299232736572897,-13.299232736572897,1.7901234567901234,3.039824625502377,1.0,23.8,Pearson chi-square,0.08124469391032428,0.36287806528064115,0.10832625854709904
between_obfuscation_clean_within_year_num,obfuscation_clean,no,yes,year_num,2025,Qwen,evidence,P2,40,40,31,21,9,19,0.775,0.525,77.5,52.5,0.25,25.0,0.32088285229202035,5.4945054945054945,1.0,14.0,Pearson chi-square,0.01907632210177841,0.3900672817558936,0.07703600947922083
between_obfuscation_clean_within_year_num,obfuscation_clean,no,yes,year_num,2023,Llama,label,P2,40,40,29,37,11,3,0.725,0.925,72.5,92.5,-0.20000000000000007,-20.000000000000007,4.67816091954023,5.54112554112554,1.0,7.0,Pearson chi-square,0.01857463246456636,0.3900672817558936,0.07703600947922083
between_year_num_within_dataset_clean,year_num,2023,2025,dataset_clean,spam_archive,Qwen,guided,P1,46,46,37,27,9,19,0.8043478260869565,0.5869565217391305,80.43478260869566,58.69565217391305,0.21739130434782605,21.739130434782606,0.3456614509246088,5.133928571428571,1.0,14.0,Pearson chi-square,0.023462564485433216,0.39886359625236467,0.07038769345629965
between_obfuscation_clean,obfuscation_clean,no,yes,none,all,Qwen,guided,P2,80,80,54,44,26,36,0.675,0.55,67.5,55.00000000000001,0.125,12.5,0.588477366255144,2.6333113890717574,1.0,31.0,Pearson chi-square,0.10464326493226926,0.41857305972907705,0.13952435324302567
between_obfuscation_clean,obfuscation_clean,no,yes,none,all,Llama,evidence,P2,80,80,74,79,6,1,0.925,0.9875,92.5,98.75,-0.0625,-6.25,6.405405405405405,3.7348272642390294,1.0,3.5,Fisher exact,0.11674697907742167,0.41857305972907705,0.140096374892906
between_year_num_within_dataset_clean,year_num,2023,2025,dataset_clean,spam_archive,Qwen,evidence,P1,46,46,42,34,4,12,0.9130434782608695,0.7391304347826086,91.30434782608695,73.91304347826086,0.17391304347826086,17.391304347826086,0.2698412698412698,4.842105263157894,1.0,8.0,Pearson chi-square,0.02777296959686301,0.44436751354980814,0.07406125225830136
